	acao	pessoa1	pessoa2	parcela	objeto	tipo_preco	rodada	jogo	saldo_CD1	saldo_CD2	saldo_CD3	saldo_AT1	saldo_AT2	saldo_AT3	saldo_EmpAgr	saldo_EmpFer	saldo_EmpMaq	saldo_EmpSem	saldo_FiscalAT	saldo_FiscalCD	saldo_PrefeitoAT	saldo_PrefeitoCD	poluicao_mundial	selo	prox_taxa	val_taxa	tratamento
859	aluguel	EmpMaq	CD2	1.0	Maquinas 1	normal	1	2	600.0	605.0	600.0	1020.0	600.0	600.0	250.0	110.0	130.0	275.0	0.0	0.0	1000.0	1000.0	38.69000000000001				
860	venda	EmpSem	CD2	2.0	Soja	baixo	1	2	600.0	590.0	600.0	1020.0	600.0	600.0	250.0	110.0	130.0	300.0	0.0	0.0	1000.0	1000.0	39.02000000000002				
861	venda	EmpFer	CD2	2.0	Comum	normal	1	2	600.0	600.0	600.0	1020.0	600.0	600.0	250.0	120.0	130.0	300.0	0.0	0.0	1000.0	1000.0	39.110000000000014				
862	aluguel	EmpMaq	CD2	2.0	Maquinas 1	normal	1	2	600.0	610.0	600.0	1020.0	600.0	600.0	250.0	120.0	160.0	300.0	0.0	0.0	1000.0	1000.0	39.140000000000015				
863	venda	EmpSem	CD2	3.0	Soja	baixo	1	2	600.0	595.0	600.0	1020.0	600.0	600.0	250.0	120.0	160.0	325.0	0.0	0.0	1000.0	1000.0	39.47000000000001				
864	venda	EmpFer	CD2	3.0	Comum	normal	1	2	600.0	605.0	600.0	1020.0	600.0	600.0	250.0	130.0	160.0	325.0	0.0	0.0	1000.0	1000.0	39.56000000000001				
865	aluguel	EmpMaq	CD2	3.0	Maquinas 1	normal	1	2	600.0	615.0	600.0	1020.0	600.0	600.0	250.0	130.0	190.0	325.0	0.0	0.0	1000.0	1000.0	39.59000000000002				
866	venda	EmpSem	CD1	1.0	Soja	normal	1	2	580.0	615.0	600.0	1020.0	600.0	600.0	250.0	130.0	190.0	355.0	0.0	0.0	1000.0	1000.0	39.92000000000002				
867	venda	EmpFer	CD1	1.0	Comum	baixo	1	2	595.0	615.0	600.0	1020.0	600.0	600.0	250.0	135.0	190.0	355.0	0.0	0.0	1000.0	1000.0	40.010000000000026				
868	venda	EmpAgr	CD1	1.0	Comum	normal	1	2	765.0	615.0	600.0	1020.0	600.0	600.0	260.0	135.0	190.0	355.0	0.0	0.0	1000.0	1000.0	40.64000000000003				
869	venda	EmpSem	CD1	2.0	Soja	normal	1	2	745.0	615.0	600.0	1020.0	600.0	600.0	260.0	135.0	190.0	385.0	0.0	0.0	1000.0	1000.0	40.970000000000034				
870	venda	EmpFer	CD1	2.0	Comum	baixo	1	2	760.0	615.0	600.0	1020.0	600.0	600.0	260.0	140.0	190.0	385.0	0.0	0.0	1000.0	1000.0	41.06000000000004				
871	venda	EmpAgr	CD1	2.0	Comum	normal	1	2	930.0	615.0	600.0	1020.0	600.0	600.0	270.0	140.0	190.0	385.0	0.0	0.0	1000.0	1000.0	41.69000000000004				
872	venda	EmpSem	CD1	3.0	Soja	normal	1	2	910.0	615.0	600.0	1020.0	600.0	600.0	270.0	140.0	190.0	415.0	0.0	0.0	1000.0	1000.0	42.02000000000004				
873	venda	EmpFer	CD1	3.0	Comum	baixo	1	2	925.0	615.0	600.0	1020.0	600.0	600.0	270.0	145.0	190.0	415.0	0.0	0.0	1000.0	1000.0	42.11000000000004				
874	venda	EmpAgr	CD1	3.0	Comum	normal	1	2	1095.0	615.0	600.0	1020.0	600.0	600.0	280.0	145.0	190.0	415.0	0.0	0.0	1000.0	1000.0	42.740000000000045				
875	venda	EmpSem	CD1	4.0	Soja	normal	1	2	1075.0	615.0	600.0	1020.0	600.0	600.0	280.0	145.0	190.0	445.0	0.0	0.0	1000.0	1000.0	43.07000000000005				
876	venda	EmpFer	CD1	4.0	Comum	baixo	1	2	1090.0	615.0	600.0	1020.0	600.0	600.0	280.0	150.0	190.0	445.0	0.0	0.0	1000.0	1000.0	43.16000000000005				
877	venda	EmpAgr	CD1	4.0	Comum	normal	1	2	1260.0	615.0	600.0	1020.0	600.0	600.0	290.0	150.0	190.0	445.0	0.0	0.0	1000.0	1000.0	43.79000000000005				
878	venda	EmpSem	CD1	5.0	Soja	normal	1	2	1240.0	615.0	600.0	1020.0	600.0	600.0	290.0	150.0	190.0	475.0	0.0	0.0	1000.0	1000.0	44.120000000000054				
879	venda	EmpFer	CD1	5.0	Comum	baixo	1	2	1255.0	615.0	600.0	1020.0	600.0	600.0	290.0	155.0	190.0	475.0	0.0	0.0	1000.0	1000.0	44.21000000000006				
880	venda	EmpAgr	CD1	5.0	Super premium	baixo	1	2	1830.0	615.0	600.0	1020.0	600.0	600.0	315.0	155.0	190.0	475.0	0.0	0.0	1000.0	1000.0	46.92000000000006				
881	venda	EmpSem	CD1	6.0	Soja	normal	1	2	1810.0	615.0	600.0	1020.0	600.0	600.0	315.0	155.0	190.0	505.0	0.0	0.0	1000.0	1000.0	47.25000000000006				
882	venda	EmpFer	CD1	6.0	Comum	baixo	1	2	1825.0	615.0	600.0	1020.0	600.0	600.0	315.0	160.0	190.0	505.0	0.0	0.0	1000.0	1000.0	47.34000000000006				
883	aluguel	EmpMaq	CD1	6.0	Maquinas 2	normal	1	2	1865.0	615.0	600.0	1020.0	600.0	600.0	315.0	160.0	250.0	505.0	0.0	0.0	1000.0	1000.0	47.400000000000055				
884	venda	EmpSem	AT3	1.0	Hortalica	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	605.0	315.0	160.0	250.0	510.0	0.0	0.0	1000.0	1000.0	47.510000000000055				
885	venda	EmpFer	AT3	1.0	Premium	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	620.0	315.0	175.0	250.0	510.0	0.0	0.0	1000.0	1000.0	47.57000000000005				
886	aluguel	EmpMaq	AT3	1.0	Maquinas 2	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	715.0	315.0	175.0	305.0	510.0	0.0	0.0	1000.0	1000.0	47.63000000000005				
887	venda	EmpSem	AT3	2.0	Hortalica	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	720.0	315.0	175.0	305.0	515.0	0.0	0.0	1000.0	1000.0	47.74000000000005				
888	venda	EmpFer	AT3	2.0	Premium	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	735.0	315.0	190.0	305.0	515.0	0.0	0.0	1000.0	1000.0	47.80000000000005				
889	aluguel	EmpMaq	AT3	2.0	Maquinas 2	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	830.0	315.0	190.0	360.0	515.0	0.0	0.0	1000.0	1000.0	47.86000000000005				
890	venda	EmpSem	AT3	3.0	Hortalica	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	835.0	315.0	190.0	360.0	520.0	0.0	0.0	1000.0	1000.0	47.97000000000005				
891	venda	EmpFer	AT3	3.0	Premium	normal	1	2	1865.0	615.0	600.0	1020.0	600.0	845.0	315.0	210.0	360.0	520.0	0.0	0.0	1000.0	1000.0	48.030000000000044				
892	aluguel	EmpMaq	AT3	3.0	Maquinas 3	normal	1	2	1865.0	615.0	600.0	1020.0	600.0	1025.0	315.0	210.0	450.0	520.0	0.0	0.0	1000.0	1000.0	48.12000000000005				
893	venda	EmpSem	AT3	4.0	Hortalica	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	1030.0	315.0	210.0	450.0	525.0	0.0	0.0	1000.0	1000.0	48.23000000000005				
894	venda	EmpFer	AT3	4.0	Premium	normal	1	2	1865.0	615.0	600.0	1020.0	600.0	1040.0	315.0	230.0	450.0	525.0	0.0	0.0	1000.0	1000.0	48.29000000000004				
895	aluguel	EmpMaq	AT3	4.0	Maquinas 1	normal	1	2	1865.0	615.0	600.0	1020.0	600.0	1070.0	315.0	230.0	480.0	525.0	0.0	0.0	1000.0	1000.0	48.32000000000004				
896	venda	EmpSem	AT3	5.0	Arroz	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	1065.0	315.0	230.0	480.0	540.0	0.0	0.0	1000.0	1000.0	48.54000000000004				
897	venda	EmpFer	AT3	5.0	Comum	normal	1	2	1865.0	615.0	600.0	1020.0	600.0	1075.0	315.0	240.0	480.0	540.0	0.0	0.0	1000.0	1000.0	48.630000000000045				
898	aluguel	EmpMaq	AT3	5.0	Maquinas 2	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	1120.0	315.0	240.0	535.0	540.0	0.0	0.0	1000.0	1000.0	48.69000000000005				
899	venda	EmpSem	AT3	6.0	Hortalica	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	1125.0	315.0	240.0	535.0	545.0	0.0	0.0	1000.0	1000.0	48.80000000000005				
900	venda	EmpFer	AT3	6.0	Comum	normal	1	2	1865.0	615.0	600.0	1020.0	600.0	1135.0	315.0	250.0	535.0	545.0	0.0	0.0	1000.0	1000.0	48.89000000000005				
901	aluguel	EmpMaq	AT3	6.0	Maquinas 2	baixo	1	2	1865.0	615.0	600.0	1020.0	600.0	1180.0	315.0	250.0	590.0	545.0	0.0	0.0	1000.0	1000.0	48.950000000000045				
902	venda	EmpSem	CD3	1.0	Arroz	baixo	1	2	1865.0	615.0	595.0	1020.0	600.0	1180.0	315.0	250.0	590.0	560.0	0.0	0.0	1000.0	1000.0	49.170000000000044				
903	venda	EmpFer	CD3	1.0	Premium	baixo	1	2	1865.0	615.0	610.0	1020.0	600.0	1180.0	315.0	265.0	590.0	560.0	0.0	0.0	1000.0	1000.0	49.23000000000005				
904	venda	EmpSem	CD3	2.0	Arroz	baixo	1	2	1865.0	615.0	605.0	1020.0	600.0	1180.0	315.0	265.0	590.0	575.0	0.0	0.0	1000.0	1000.0	49.450000000000045				
905	venda	EmpFer	CD3	2.0	Comum	baixo	1	2	1865.0	615.0	620.0	1020.0	600.0	1180.0	315.0	270.0	590.0	575.0	0.0	0.0	1000.0	1000.0	49.54000000000004				
906	venda	EmpSem	CD3	3.0	Arroz	baixo	1	2	1865.0	615.0	615.0	1020.0	600.0	1180.0	315.0	270.0	590.0	590.0	0.0	0.0	1000.0	1000.0	49.76000000000004				
907	venda	EmpFer	CD3	3.0	Premium	baixo	1	2	1865.0	615.0	630.0	1020.0	600.0	1180.0	315.0	285.0	590.0	590.0	0.0	0.0	1000.0	1000.0	49.82000000000004				
908	venda	EmpSem	CD3	4.0	Arroz	baixo	1	2	1865.0	615.0	625.0	1020.0	600.0	1180.0	315.0	285.0	590.0	605.0	0.0	0.0	1000.0	1000.0	50.04000000000004				
909	venda	EmpFer	CD3	4.0	Premium	baixo	1	2	1865.0	615.0	640.0	1020.0	600.0	1180.0	315.0	300.0	590.0	605.0	0.0	0.0	1000.0	1000.0	50.100000000000044				
910	venda	EmpSem	CD3	5.0	Arroz	baixo	1	2	1865.0	615.0	635.0	1020.0	600.0	1180.0	315.0	300.0	590.0	620.0	0.0	0.0	1000.0	1000.0	50.32000000000004				
911	venda	EmpFer	CD3	5.0	Super premium	alto	1	2	1865.0	615.0	640.0	1020.0	600.0	1180.0	315.0	335.0	590.0	620.0	0.0	0.0	1000.0	1000.0	50.35000000000004				
912	venda	EmpSem	CD3	6.0	Arroz	baixo	1	2	1865.0	615.0	635.0	1020.0	600.0	1180.0	315.0	335.0	590.0	635.0	0.0	0.0	1000.0	1000.0	50.570000000000036				
913	venda	EmpSem	AT2	1.0	Arroz	baixo	1	2	1865.0	615.0	635.0	1020.0	595.0	1180.0	315.0	335.0	590.0	650.0	0.0	0.0	1000.0	1000.0	50.790000000000035				
914	venda	EmpSem	AT2	2.0	Arroz	baixo	1	2	1865.0	615.0	635.0	1020.0	590.0	1180.0	315.0	335.0	590.0	665.0	0.0	0.0	1000.0	1000.0	51.01000000000003				
915	venda	EmpSem	AT2	3.0	Arroz	baixo	1	2	1865.0	615.0	635.0	1020.0	585.0	1180.0	315.0	335.0	590.0	680.0	0.0	0.0	1000.0	1000.0	51.23000000000003				
916	venda	EmpSem	AT2	4.0	Arroz	baixo	1	2	1865.0	615.0	635.0	1020.0	580.0	1180.0	315.0	335.0	590.0	695.0	0.0	0.0	1000.0	1000.0	51.45000000000003				
917	venda	EmpSem	AT2	5.0	Arroz	baixo	1	2	1865.0	615.0	635.0	1020.0	575.0	1180.0	315.0	335.0	590.0	710.0	0.0	0.0	1000.0	1000.0	51.67000000000003				
918	venda	EmpSem	AT2	6.0	Arroz	baixo	1	2	1865.0	615.0	635.0	1020.0	570.0	1180.0	315.0	335.0	590.0	725.0	0.0	0.0	1000.0	1000.0	51.89000000000002				
19	tratamento	prefeito EmpAgr					1	2	1865.0	615.0	635.0	1020.0	570.0	1180.0	315.0	335.0	590.0	725.0	0.0	0.0	1000.0	168.11	49.29550000000002				Agua
90	imposto	prefeito AT2	EmpSem				1	2	1865.0	615.0	635.0	1020.0	570.0	1180.0	315.0	335.0	590.0	537.5	0.0	0.0	1187.5	168.11	49.29550000000002				
91	imposto	prefeito EmpAgr	EmpFer				1	2	1865.0	615.0	635.0	1020.0	570.0	1180.0	315.0	264.5	590.0	537.5	0.0	0.0	1187.5	238.61	49.29550000000002				
92	imposto	prefeito AT2	EmpMaq				1	2	1865.0	615.0	635.0	1020.0	570.0	1180.0	315.0	264.5	443.0	537.5	0.0	0.0	1334.5	238.61	49.29550000000002				
93	imposto	prefeito EmpAgr	EmpAgr				1	2	1865.0	615.0	635.0	1020.0	570.0	1180.0	250.5	264.5	443.0	537.5	0.0	0.0	1334.5	303.11	49.29550000000002				
94	imposto	prefeito AT2	AT1				1	2	1865.0	615.0	635.0	840.0	570.0	1180.0	250.5	264.5	443.0	537.5	0.0	0.0	1514.5	303.11	49.29550000000002				
95	imposto	prefeito EmpAgr	CD1				1	2	1679.0	615.0	635.0	840.0	570.0	1180.0	250.5	264.5	443.0	537.5	0.0	0.0	1514.5	489.11	49.29550000000002				
96	imposto	prefeito AT2	AT2				1	2	1679.0	615.0	635.0	840.0	564.0	1180.0	250.5	264.5	443.0	537.5	0.0	0.0	1520.5	489.11	49.29550000000002				
97	imposto	prefeito EmpAgr	CD2				1	2	1679.0	552.0	635.0	840.0	564.0	1180.0	250.5	264.5	443.0	537.5	0.0	0.0	1520.5	552.11	49.29550000000002				
98	imposto	prefeito AT2	AT3				1	2	1679.0	552.0	635.0	840.0	564.0	865.0	250.5	264.5	443.0	537.5	0.0	0.0	1835.5	552.11	49.29550000000002				
99	imposto	prefeito EmpAgr	CD3				1	2	1679.0	552.0	572.0	840.0	564.0	865.0	250.5	264.5	443.0	537.5	0.0	0.0	1835.5	615.11	49.29550000000002				
13	multa	AT3	AT1				1	2	1679.0	552.0	572.0	-60.0	564.0	865.0	250.5	264.5	443.0	537.5	0.0	0.0	2735.5	615.11	49.29550000000002				
14	multa	EmpFer	CD1				1	2	1564.0	552.0	572.0	-60.0	564.0	865.0	250.5	264.5	443.0	537.5	0.0	0.0	2735.5	730.11	49.29550000000002				
81	selo	EmpFer	CD2				1	2	1564.0	555.15	572.0	-60.0	564.0	865.0	250.5	264.5	443.0	537.5	0.0	0.0	2735.5	726.96	49.29550000000002	6.0			
82	selo	EmpFer	CD1				1	2	1573.3	555.15	572.0	-60.0	564.0	865.0	250.5	264.5	443.0	537.5	0.0	0.0	2735.5	717.6600000000001	49.29550000000002	6.0			
8	transferencia	AT2 (prefeito)	AT2				1	2	1573.3	555.15	572.0	-60.0	624.0	865.0	250.5	264.5	443.0	537.5	0.0	0.0	2675.5	717.6600000000001	49.29550000000002				
23	nova taxa	AT2					1	2	1573.3	555.15	572.0	-60.0	624.0	865.0	250.5	264.5	443.0	537.5	0.0	0.0	2675.5	717.6600000000001	49.29550000000002		1.0	5.0	
24	nova taxa	AT2					1	2	1573.3	555.15	572.0	-60.0	624.0	865.0	250.5	264.5	443.0	537.5	0.0	0.0	2675.5	717.6600000000001	49.29550000000002		3.0	35.0%	
919	venda	EmpSem	AT1	1.0	Soja	baixo	2	2	1573.3	555.15	572.0	-75.0	624.0	865.0	250.5	264.5	443.0	562.5	0.0	0.0	2675.5	717.6600000000001	49.625500000000024				
920	venda	EmpFer	AT1	1.0	Premium	normal	2	2	1573.3	555.15	572.0	-65.0	624.0	865.0	250.5	284.5	443.0	562.5	0.0	0.0	2675.5	717.6600000000001	49.68550000000002				
921	aluguel	EmpMaq	AT1	1.0	Maquinas 3	baixo	2	2	1573.3	555.15	572.0	120.0	624.0	865.0	250.5	284.5	528.0	562.5	0.0	0.0	2675.5	717.6600000000001	49.77550000000002				
922	venda	EmpSem	AT1	2.0	Soja	alto	2	2	1573.3	555.15	572.0	95.0	624.0	865.0	250.5	284.5	528.0	597.5	0.0	0.0	2675.5	717.6600000000001	50.10550000000003				
923	venda	EmpFer	AT1	2.0	Premium	normal	2	2	1573.3	555.15	572.0	105.0	624.0	865.0	250.5	304.5	528.0	597.5	0.0	0.0	2675.5	717.6600000000001	50.16550000000003				
924	aluguel	EmpMaq	AT1	2.0	Maquinas 3	baixo	2	2	1573.3	555.15	572.0	290.0	624.0	865.0	250.5	304.5	613.0	597.5	0.0	0.0	2675.5	717.6600000000001	50.25550000000003				
925	venda	EmpSem	AT1	3.0	Soja	alto	2	2	1573.3	555.15	572.0	265.0	624.0	865.0	250.5	304.5	613.0	632.5	0.0	0.0	2675.5	717.6600000000001	50.585500000000025				
926	venda	EmpFer	AT1	3.0	Premium	normal	2	2	1573.3	555.15	572.0	275.0	624.0	865.0	250.5	324.5	613.0	632.5	0.0	0.0	2675.5	717.6600000000001	50.645500000000034				
927	aluguel	EmpMaq	AT1	3.0	Maquinas 3	baixo	2	2	1573.3	555.15	572.0	460.0	624.0	865.0	250.5	324.5	698.0	632.5	0.0	0.0	2675.5	717.6600000000001	50.73550000000003				
928	venda	EmpSem	CD1	1.0	Soja	alto	2	2	1548.3	555.15	572.0	460.0	624.0	865.0	250.5	324.5	698.0	667.5	0.0	0.0	2675.5	717.6600000000001	51.06550000000003				
929	venda	EmpFer	CD1	1.0	Premium	baixo	2	2	1563.3	555.15	572.0	460.0	624.0	865.0	250.5	339.5	698.0	667.5	0.0	0.0	2675.5	717.6600000000001	51.12550000000004				
930	venda	EmpAgr	CD1	1.0	Comum	normal	2	2	1813.3	555.15	572.0	460.0	624.0	865.0	260.5	339.5	698.0	667.5	0.0	0.0	2675.5	717.6600000000001	51.75550000000003				
931	venda	EmpSem	CD1	2.0	Arroz	alto	2	2	1798.3	555.15	572.0	460.0	624.0	865.0	260.5	339.5	698.0	692.5	0.0	0.0	2675.5	717.6600000000001	51.97550000000003				
932	venda	EmpFer	CD1	2.0	Premium	baixo	2	2	1813.3	555.15	572.0	460.0	624.0	865.0	260.5	354.5	698.0	692.5	0.0	0.0	2675.5	717.6600000000001	52.035500000000035				
933	venda	EmpAgr	CD1	2.0	Premium	normal	2	2	2133.3	555.15	572.0	460.0	624.0	865.0	280.5	354.5	698.0	692.5	0.0	0.0	2675.5	717.6600000000001	53.05550000000003				
934	venda	EmpSem	CD1	3.0	Arroz	alto	2	2	2118.3	555.15	572.0	460.0	624.0	865.0	280.5	354.5	698.0	717.5	0.0	0.0	2675.5	717.6600000000001	53.27550000000003				
935	venda	EmpFer	CD1	3.0	Premium	baixo	2	2	2133.3	555.15	572.0	460.0	624.0	865.0	280.5	369.5	698.0	717.5	0.0	0.0	2675.5	717.6600000000001	53.33550000000004				
936	venda	EmpAgr	CD1	3.0	Premium	normal	2	2	2453.3	555.15	572.0	460.0	624.0	865.0	300.5	369.5	698.0	717.5	0.0	0.0	2675.5	717.6600000000001	54.355500000000035				
937	venda	EmpSem	CD1	4.0	Arroz	alto	2	2	2438.3	555.15	572.0	460.0	624.0	865.0	300.5	369.5	698.0	742.5	0.0	0.0	2675.5	717.6600000000001	54.575500000000034				
938	venda	EmpFer	CD1	4.0	Premium	baixo	2	2	2453.3	555.15	572.0	460.0	624.0	865.0	300.5	384.5	698.0	742.5	0.0	0.0	2675.5	717.6600000000001	54.635500000000036				
939	venda	EmpAgr	CD1	4.0	Premium	normal	2	2	2773.3	555.15	572.0	460.0	624.0	865.0	320.5	384.5	698.0	742.5	0.0	0.0	2675.5	717.6600000000001	55.65550000000003				
940	venda	EmpSem	CD1	5.0	Arroz	alto	2	2	2758.3	555.15	572.0	460.0	624.0	865.0	320.5	384.5	698.0	767.5	0.0	0.0	2675.5	717.6600000000001	55.87550000000003				
941	venda	EmpFer	CD1	5.0	Premium	baixo	2	2	2773.3	555.15	572.0	460.0	624.0	865.0	320.5	399.5	698.0	767.5	0.0	0.0	2675.5	717.6600000000001	55.93550000000004				
942	aluguel	EmpMaq	CD1	5.0	Maquinas 3	normal	2	2	2953.3	555.15	572.0	460.0	624.0	865.0	320.5	399.5	788.0	767.5	0.0	0.0	2675.5	717.6600000000001	56.02550000000004				
943	venda	EmpSem	CD1	6.0	Arroz	alto	2	2	2938.3	555.15	572.0	460.0	624.0	865.0	320.5	399.5	788.0	792.5	0.0	0.0	2675.5	717.6600000000001	56.245500000000035				
944	venda	EmpFer	CD1	6.0	Premium	baixo	2	2	2953.3	555.15	572.0	460.0	624.0	865.0	320.5	414.5	788.0	792.5	0.0	0.0	2675.5	717.6600000000001	56.305500000000045				
945	aluguel	EmpMaq	CD1	6.0	Maquinas 3	normal	2	2	3133.3	555.15	572.0	460.0	624.0	865.0	320.5	414.5	878.0	792.5	0.0	0.0	2675.5	717.6600000000001	56.39550000000004				
946	venda	EmpSem	AT3	1.0	Hortalica	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	870.0	320.5	414.5	878.0	797.5	0.0	0.0	2675.5	717.6600000000001	56.50550000000004				
947	venda	EmpFer	AT3	1.0	Premium	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	885.0	320.5	429.5	878.0	797.5	0.0	0.0	2675.5	717.6600000000001	56.56550000000004				
948	aluguel	EmpMaq	AT3	1.0	Maquinas 2	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	980.0	320.5	429.5	933.0	797.5	0.0	0.0	2675.5	717.6600000000001	56.62550000000005				
949	venda	EmpSem	AT3	2.0	Hortalica	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	985.0	320.5	429.5	933.0	802.5	0.0	0.0	2675.5	717.6600000000001	56.73550000000005				
950	venda	EmpFer	AT3	2.0	Comum	normal	2	2	3133.3	555.15	572.0	460.0	624.0	995.0	320.5	439.5	933.0	802.5	0.0	0.0	2675.5	717.6600000000001	56.82550000000005				
951	aluguel	EmpMaq	AT3	2.0	Maquinas 2	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	1040.0	320.5	439.5	988.0	802.5	0.0	0.0	2675.5	717.6600000000001	56.88550000000006				
952	venda	EmpSem	AT3	3.0	Hortalica	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	1045.0	320.5	439.5	988.0	807.5	0.0	0.0	2675.5	717.6600000000001	56.99550000000006				
953	venda	EmpFer	AT3	3.0	Comum	normal	2	2	3133.3	555.15	572.0	460.0	624.0	1055.0	320.5	449.5	988.0	807.5	0.0	0.0	2675.5	717.6600000000001	57.08550000000005				
954	aluguel	EmpMaq	AT3	3.0	Maquinas 3	normal	2	2	3133.3	555.15	572.0	460.0	624.0	1145.0	320.5	449.5	1078.0	807.5	0.0	0.0	2675.5	717.6600000000001	57.175500000000056				
955	venda	EmpSem	AT3	4.0	Arroz	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	1140.0	320.5	449.5	1078.0	822.5	0.0	0.0	2675.5	717.6600000000001	57.395500000000055				
956	venda	EmpFer	AT3	4.0	Premium	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	1155.0	320.5	464.5	1078.0	822.5	0.0	0.0	2675.5	717.6600000000001	57.45550000000006				
957	venda	EmpAgr	AT3	4.0	Comum	normal	2	2	3133.3	555.15	572.0	460.0	624.0	1305.0	330.5	464.5	1078.0	822.5	0.0	0.0	2675.5	717.6600000000001	57.88550000000006				
958	venda	EmpSem	AT3	5.0	Hortalica	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	1310.0	330.5	464.5	1078.0	827.5	0.0	0.0	2675.5	717.6600000000001	57.99550000000006				
959	venda	EmpFer	AT3	5.0	Premium	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	1325.0	330.5	479.5	1078.0	827.5	0.0	0.0	2675.5	717.6600000000001	58.05550000000006				
960	aluguel	EmpMaq	AT3	5.0	Maquinas 2	baixo	2	2	3133.3	555.15	572.0	460.0	624.0	1420.0	330.5	479.5	1133.0	827.5	0.0	0.0	2675.5	717.6600000000001	58.11550000000006				
