@RELATION dataset

@ATTRIBUTE acao {venda,aluguel,tratamento,imposto,multa,selo,transferencia,novaTaxa}
@ATTRIBUTE pessoa1 {EmpAgr,EmpFer,EmpMaq,EmpSem,AT1,AT2,AT3,CD1,CD2,CD3,PrefeitoAT,PrefeitoCD,FiscalAT,FiscalCD}
@ATTRIBUTE pessoa2 {EmpAgr,EmpFer,EmpMaq,EmpSem,AT1,AT2,AT3,CD1,CD2,CD3,PrefeitoAT,PrefeitoCD,FiscalAT,FiscalCD}
@ATTRIBUTE parcela INTEGER [1,6]
@ATTRIBUTE objeto {Soja,Hortalica,Arroz,SuperPremium,Premium,Comum,Maquinas1,Maquinas2,Maquinas3,Pulverizador}
@ATTRIBUTE tipo_preco {baixo,normal,alto}
@ATTRIBUTE rodada REAL
@ATTRIBUTE jogo REAL
@ATTRIBUTE saldo_CD1 REAL
@ATTRIBUTE saldo_CD2 REAL
@ATTRIBUTE saldo_CD3 REAL
@ATTRIBUTE saldo_AT1 REAL
@ATTRIBUTE saldo_AT2 REAL
@ATTRIBUTE saldo_AT3 REAL
@ATTRIBUTE saldo_EmpAgr REAL
@ATTRIBUTE saldo_EmpFer REAL
@ATTRIBUTE saldo_EmpMaq REAL
@ATTRIBUTE saldo_EmpSem REAL
@ATTRIBUTE saldo_FiscalAT REAL
@ATTRIBUTE saldo_FiscalCD REAL
@ATTRIBUTE saldo_PrefeitoAT REAL
@ATTRIBUTE saldo_PrefeitoCD REAL
@ATTRIBUTE poluicao_mundial REAL
@ATTRIBUTE selo INTEGER [1,6]
@ATTRIBUTE prox_taxa REAL
@ATTRIBUTE val_taxa REAL
@ATTRIBUTE tratamento {Agua,Esgoto,Lixo}

@DATA
venda,EmpSem,AT1,6.0,Soja,baixo,1,2,600.0,600.0,600.0,935.0,600.0,600.0,225.0,100.0,100.0,250.0,0.0,0.0,1000.0,1000.0,65.52999999999999,?,?,?,?
venda,EmpAgr,AT1,6.0,SuperPremium,baixo,1,2,600.0,600.0,600.0,1020.0,600.0,600.0,250.0,100.0,100.0,250.0,0.0,0.0,1000.0,1000.0,68.24,?,?,?,?
venda,EmpSem,CD2,1.0,Soja,baixo,1,2,600.0,585.0,600.0,1020.0,600.0,600.0,250.0,100.0,100.0,275.0,0.0,0.0,1000.0,1000.0,68.57,?,?,?,?
venda,EmpFer,CD2,1.0,Comum,normal,1,2,600.0,595.0,600.0,1020.0,600.0,600.0,250.0,110.0,100.0,275.0,0.0,0.0,1000.0,1000.0,68.66,?,?,?,?
aluguel,EmpMaq,CD2,1.0,Maquinas1,normal,1,2,600.0,605.0,600.0,1020.0,600.0,600.0,250.0,110.0,130.0,275.0,0.0,0.0,1000.0,1000.0,68.69,?,?,?,?
venda,EmpSem,CD2,2.0,Soja,baixo,1,2,600.0,590.0,600.0,1020.0,600.0,600.0,250.0,110.0,130.0,300.0,0.0,0.0,1000.0,1000.0,69.02,?,?,?,?
venda,EmpFer,CD2,2.0,Comum,normal,1,2,600.0,600.0,600.0,1020.0,600.0,600.0,250.0,120.0,130.0,300.0,0.0,0.0,1000.0,1000.0,69.11,?,?,?,?
aluguel,EmpMaq,CD2,2.0,Maquinas1,normal,1,2,600.0,610.0,600.0,1020.0,600.0,600.0,250.0,120.0,160.0,300.0,0.0,0.0,1000.0,1000.0,69.14,?,?,?,?
venda,EmpSem,CD2,3.0,Soja,baixo,1,2,600.0,595.0,600.0,1020.0,600.0,600.0,250.0,120.0,160.0,325.0,0.0,0.0,1000.0,1000.0,69.47,?,?,?,?
venda,EmpFer,CD2,3.0,Comum,normal,1,2,600.0,605.0,600.0,1020.0,600.0,600.0,250.0,130.0,160.0,325.0,0.0,0.0,1000.0,1000.0,69.56,?,?,?,?
aluguel,EmpMaq,CD2,3.0,Maquinas1,normal,1,2,600.0,615.0,600.0,1020.0,600.0,600.0,250.0,130.0,190.0,325.0,0.0,0.0,1000.0,1000.0,69.59,?,?,?,?
venda,EmpSem,CD1,1.0,Soja,normal,1,2,580.0,615.0,600.0,1020.0,600.0,600.0,250.0,130.0,190.0,355.0,0.0,0.0,1000.0,1000.0,69.92,?,?,?,?
venda,EmpFer,CD1,1.0,Comum,baixo,1,2,595.0,615.0,600.0,1020.0,600.0,600.0,250.0,135.0,190.0,355.0,0.0,0.0,1000.0,1000.0,70.01,?,?,?,?
venda,EmpAgr,CD1,1.0,Comum,normal,1,2,765.0,615.0,600.0,1020.0,600.0,600.0,260.0,135.0,190.0,355.0,0.0,0.0,1000.0,1000.0,70.64,?,?,?,?
venda,EmpSem,CD1,2.0,Soja,normal,1,2,745.0,615.0,600.0,1020.0,600.0,600.0,260.0,135.0,190.0,385.0,0.0,0.0,1000.0,1000.0,70.97,?,?,?,?
venda,EmpFer,CD1,2.0,Comum,baixo,1,2,760.0,615.0,600.0,1020.0,600.0,600.0,260.0,140.0,190.0,385.0,0.0,0.0,1000.0,1000.0,71.06,?,?,?,?
venda,EmpAgr,CD1,2.0,Comum,normal,1,2,930.0,615.0,600.0,1020.0,600.0,600.0,270.0,140.0,190.0,385.0,0.0,0.0,1000.0,1000.0,71.69,?,?,?,?
venda,EmpSem,CD1,3.0,Soja,normal,1,2,910.0,615.0,600.0,1020.0,600.0,600.0,270.0,140.0,190.0,415.0,0.0,0.0,1000.0,1000.0,72.02,?,?,?,?
venda,EmpFer,CD1,3.0,Comum,baixo,1,2,925.0,615.0,600.0,1020.0,600.0,600.0,270.0,145.0,190.0,415.0,0.0,0.0,1000.0,1000.0,72.11,?,?,?,?
venda,EmpAgr,CD1,3.0,Comum,normal,1,2,1095.0,615.0,600.0,1020.0,600.0,600.0,280.0,145.0,190.0,415.0,0.0,0.0,1000.0,1000.0,72.74,?,?,?,?
venda,EmpSem,CD1,4.0,Soja,normal,1,2,1075.0,615.0,600.0,1020.0,600.0,600.0,280.0,145.0,190.0,445.0,0.0,0.0,1000.0,1000.0,73.07,?,?,?,?
venda,EmpFer,CD1,4.0,Comum,baixo,1,2,1090.0,615.0,600.0,1020.0,600.0,600.0,280.0,150.0,190.0,445.0,0.0,0.0,1000.0,1000.0,73.16,?,?,?,?
venda,EmpAgr,CD1,4.0,Comum,normal,1,2,1260.0,615.0,600.0,1020.0,600.0,600.0,290.0,150.0,190.0,445.0,0.0,0.0,1000.0,1000.0,73.78999999999999,?,?,?,?
venda,EmpSem,CD1,5.0,Soja,normal,1,2,1240.0,615.0,600.0,1020.0,600.0,600.0,290.0,150.0,190.0,475.0,0.0,0.0,1000.0,1000.0,74.11999999999999,?,?,?,?
venda,EmpFer,CD1,5.0,Comum,baixo,1,2,1255.0,615.0,600.0,1020.0,600.0,600.0,290.0,155.0,190.0,475.0,0.0,0.0,1000.0,1000.0,74.21,?,?,?,?
venda,EmpAgr,CD1,5.0,SuperPremium,baixo,1,2,1830.0,615.0,600.0,1020.0,600.0,600.0,315.0,155.0,190.0,475.0,0.0,0.0,1000.0,1000.0,76.92,?,?,?,?
venda,EmpSem,CD1,6.0,Soja,normal,1,2,1810.0,615.0,600.0,1020.0,600.0,600.0,315.0,155.0,190.0,505.0,0.0,0.0,1000.0,1000.0,77.25,?,?,?,?
venda,EmpFer,CD1,6.0,Comum,baixo,1,2,1825.0,615.0,600.0,1020.0,600.0,600.0,315.0,160.0,190.0,505.0,0.0,0.0,1000.0,1000.0,77.34,?,?,?,?
aluguel,EmpMaq,CD1,6.0,Maquinas2,normal,1,2,1865.0,615.0,600.0,1020.0,600.0,600.0,315.0,160.0,250.0,505.0,0.0,0.0,1000.0,1000.0,77.40000000000002,?,?,?,?
venda,EmpSem,AT3,1.0,Hortalica,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,605.0,315.0,160.0,250.0,510.0,0.0,0.0,1000.0,1000.0,77.51000000000002,?,?,?,?
venda,EmpFer,AT3,1.0,Premium,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,620.0,315.0,175.0,250.0,510.0,0.0,0.0,1000.0,1000.0,77.57000000000002,?,?,?,?
aluguel,EmpMaq,AT3,1.0,Maquinas2,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,715.0,315.0,175.0,305.0,510.0,0.0,0.0,1000.0,1000.0,77.63000000000002,?,?,?,?
venda,EmpSem,AT3,2.0,Hortalica,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,720.0,315.0,175.0,305.0,515.0,0.0,0.0,1000.0,1000.0,77.74000000000002,?,?,?,?
venda,EmpFer,AT3,2.0,Premium,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,735.0,315.0,190.0,305.0,515.0,0.0,0.0,1000.0,1000.0,77.80000000000003,?,?,?,?
aluguel,EmpMaq,AT3,2.0,Maquinas2,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,830.0,315.0,190.0,360.0,515.0,0.0,0.0,1000.0,1000.0,77.86000000000003,?,?,?,?
venda,EmpSem,AT3,3.0,Hortalica,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,835.0,315.0,190.0,360.0,520.0,0.0,0.0,1000.0,1000.0,77.97000000000003,?,?,?,?
venda,EmpFer,AT3,3.0,Premium,normal,1,2,1865.0,615.0,600.0,1020.0,600.0,845.0,315.0,210.0,360.0,520.0,0.0,0.0,1000.0,1000.0,78.03000000000003,?,?,?,?
aluguel,EmpMaq,AT3,3.0,Maquinas3,normal,1,2,1865.0,615.0,600.0,1020.0,600.0,1025.0,315.0,210.0,450.0,520.0,0.0,0.0,1000.0,1000.0,78.12000000000003,?,?,?,?
venda,EmpSem,AT3,4.0,Hortalica,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,1030.0,315.0,210.0,450.0,525.0,0.0,0.0,1000.0,1000.0,78.23000000000003,?,?,?,?
venda,EmpFer,AT3,4.0,Premium,normal,1,2,1865.0,615.0,600.0,1020.0,600.0,1040.0,315.0,230.0,450.0,525.0,0.0,0.0,1000.0,1000.0,78.29000000000003,?,?,?,?
aluguel,EmpMaq,AT3,4.0,Maquinas1,normal,1,2,1865.0,615.0,600.0,1020.0,600.0,1070.0,315.0,230.0,480.0,525.0,0.0,0.0,1000.0,1000.0,78.32000000000004,?,?,?,?
venda,EmpSem,AT3,5.0,Arroz,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,1065.0,315.0,230.0,480.0,540.0,0.0,0.0,1000.0,1000.0,78.54000000000003,?,?,?,?
venda,EmpFer,AT3,5.0,Comum,normal,1,2,1865.0,615.0,600.0,1020.0,600.0,1075.0,315.0,240.0,480.0,540.0,0.0,0.0,1000.0,1000.0,78.63000000000004,?,?,?,?
aluguel,EmpMaq,AT3,5.0,Maquinas2,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,1120.0,315.0,240.0,535.0,540.0,0.0,0.0,1000.0,1000.0,78.69000000000004,?,?,?,?
venda,EmpSem,AT3,6.0,Hortalica,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,1125.0,315.0,240.0,535.0,545.0,0.0,0.0,1000.0,1000.0,78.80000000000004,?,?,?,?
venda,EmpFer,AT3,6.0,Comum,normal,1,2,1865.0,615.0,600.0,1020.0,600.0,1135.0,315.0,250.0,535.0,545.0,0.0,0.0,1000.0,1000.0,78.89000000000004,?,?,?,?
aluguel,EmpMaq,AT3,6.0,Maquinas2,baixo,1,2,1865.0,615.0,600.0,1020.0,600.0,1180.0,315.0,250.0,590.0,545.0,0.0,0.0,1000.0,1000.0,78.95000000000005,?,?,?,?
venda,EmpSem,CD3,1.0,Arroz,baixo,1,2,1865.0,615.0,595.0,1020.0,600.0,1180.0,315.0,250.0,590.0,560.0,0.0,0.0,1000.0,1000.0,79.17000000000004,?,?,?,?
venda,EmpFer,CD3,1.0,Premium,baixo,1,2,1865.0,615.0,610.0,1020.0,600.0,1180.0,315.0,265.0,590.0,560.0,0.0,0.0,1000.0,1000.0,79.23000000000005,?,?,?,?
venda,EmpSem,CD3,2.0,Arroz,baixo,1,2,1865.0,615.0,605.0,1020.0,600.0,1180.0,315.0,265.0,590.0,575.0,0.0,0.0,1000.0,1000.0,79.45000000000005,?,?,?,?
venda,EmpFer,CD3,2.0,Comum,baixo,1,2,1865.0,615.0,620.0,1020.0,600.0,1180.0,315.0,270.0,590.0,575.0,0.0,0.0,1000.0,1000.0,79.54000000000005,?,?,?,?
venda,EmpSem,CD3,3.0,Arroz,baixo,1,2,1865.0,615.0,615.0,1020.0,600.0,1180.0,315.0,270.0,590.0,590.0,0.0,0.0,1000.0,1000.0,79.76000000000005,?,?,?,?
venda,EmpFer,CD3,3.0,Premium,baixo,1,2,1865.0,615.0,630.0,1020.0,600.0,1180.0,315.0,285.0,590.0,590.0,0.0,0.0,1000.0,1000.0,79.82000000000006,?,?,?,?
venda,EmpSem,CD3,4.0,Arroz,baixo,1,2,1865.0,615.0,625.0,1020.0,600.0,1180.0,315.0,285.0,590.0,605.0,0.0,0.0,1000.0,1000.0,80.04000000000006,?,?,?,?
venda,EmpFer,CD3,4.0,Premium,baixo,1,2,1865.0,615.0,640.0,1020.0,600.0,1180.0,315.0,300.0,590.0,605.0,0.0,0.0,1000.0,1000.0,80.10000000000007,?,?,?,?
venda,EmpSem,CD3,5.0,Arroz,baixo,1,2,1865.0,615.0,635.0,1020.0,600.0,1180.0,315.0,300.0,590.0,620.0,0.0,0.0,1000.0,1000.0,80.32000000000006,?,?,?,?
venda,EmpFer,CD3,5.0,SuperPremium,alto,1,2,1865.0,615.0,640.0,1020.0,600.0,1180.0,315.0,335.0,590.0,620.0,0.0,0.0,1000.0,1000.0,80.35000000000007,?,?,?,?
venda,EmpSem,CD3,6.0,Arroz,baixo,1,2,1865.0,615.0,635.0,1020.0,600.0,1180.0,315.0,335.0,590.0,635.0,0.0,0.0,1000.0,1000.0,80.57000000000006,?,?,?,?
venda,EmpSem,AT2,1.0,Arroz,baixo,1,2,1865.0,615.0,635.0,1020.0,595.0,1180.0,315.0,335.0,590.0,650.0,0.0,0.0,1000.0,1000.0,80.79000000000006,?,?,?,?
venda,EmpSem,AT2,2.0,Arroz,baixo,1,2,1865.0,615.0,635.0,1020.0,590.0,1180.0,315.0,335.0,590.0,665.0,0.0,0.0,1000.0,1000.0,81.01000000000006,?,?,?,?
venda,EmpSem,AT2,3.0,Arroz,baixo,1,2,1865.0,615.0,635.0,1020.0,585.0,1180.0,315.0,335.0,590.0,680.0,0.0,0.0,1000.0,1000.0,81.23000000000006,?,?,?,?
venda,EmpSem,AT2,4.0,Arroz,baixo,1,2,1865.0,615.0,635.0,1020.0,580.0,1180.0,315.0,335.0,590.0,695.0,0.0,0.0,1000.0,1000.0,81.45000000000006,?,?,?,?
venda,EmpSem,AT2,5.0,Arroz,baixo,1,2,1865.0,615.0,635.0,1020.0,575.0,1180.0,315.0,335.0,590.0,710.0,0.0,0.0,1000.0,1000.0,81.67000000000006,?,?,?,?
venda,EmpSem,AT2,6.0,Arroz,baixo,1,2,1865.0,615.0,635.0,1020.0,570.0,1180.0,315.0,335.0,590.0,725.0,0.0,0.0,1000.0,1000.0,81.89000000000006,?,?,?,?
tratamento,PrefeitoCD,?,?,?,?,1,2,1865.0,615.0,635.0,1020.0,570.0,1180.0,315.0,335.0,590.0,725.0,0.0,0.0,1000.0,138.1099999999999,77.79550000000005,?,?,?,Agua
imposto,PrefeitoAT,EmpSem,?,?,?,1,2,1865.0,615.0,635.0,1020.0,570.0,1180.0,315.0,335.0,590.0,537.5,0.0,0.0,1187.5,138.1099999999999,77.79550000000005,?,?,?,?
imposto,PrefeitoCD,EmpFer,?,?,?,1,2,1865.0,615.0,635.0,1020.0,570.0,1180.0,315.0,264.5,590.0,537.5,0.0,0.0,1187.5,208.6099999999999,77.79550000000005,?,?,?,?
imposto,PrefeitoAT,EmpMaq,?,?,?,1,2,1865.0,615.0,635.0,1020.0,570.0,1180.0,315.0,264.5,443.0,537.5,0.0,0.0,1334.5,208.6099999999999,77.79550000000005,?,?,?,?
imposto,PrefeitoCD,EmpAgr,?,?,?,1,2,1865.0,615.0,635.0,1020.0,570.0,1180.0,250.5,264.5,443.0,537.5,0.0,0.0,1334.5,273.1099999999999,77.79550000000005,?,?,?,?
imposto,PrefeitoAT,AT1,?,?,?,1,2,1865.0,615.0,635.0,840.0,570.0,1180.0,250.5,264.5,443.0,537.5,0.0,0.0,1514.5,273.1099999999999,77.79550000000005,?,?,?,?
imposto,PrefeitoCD,CD1,?,?,?,1,2,1679.0,615.0,635.0,840.0,570.0,1180.0,250.5,264.5,443.0,537.5,0.0,0.0,1514.5,459.1099999999999,77.79550000000005,?,?,?,?
imposto,PrefeitoAT,AT2,?,?,?,1,2,1679.0,615.0,635.0,840.0,564.0,1180.0,250.5,264.5,443.0,537.5,0.0,0.0,1520.5,459.1099999999999,77.79550000000005,?,?,?,?
imposto,PrefeitoCD,CD2,?,?,?,1,2,1679.0,552.0,635.0,840.0,564.0,1180.0,250.5,264.5,443.0,537.5,0.0,0.0,1520.5,522.1099999999999,77.79550000000005,?,?,?,?
imposto,PrefeitoAT,AT3,?,?,?,1,2,1679.0,552.0,635.0,840.0,564.0,865.0,250.5,264.5,443.0,537.5,0.0,0.0,1835.5,522.1099999999999,77.79550000000005,?,?,?,?
imposto,PrefeitoCD,CD3,?,?,?,1,2,1679.0,552.0,572.0,840.0,564.0,865.0,250.5,264.5,443.0,537.5,0.0,0.0,1835.5,585.1099999999999,77.79550000000005,?,?,?,?
multa,FiscalAT,AT1,?,?,?,1,2,1679.0,552.0,572.0,-60.0,564.0,865.0,250.5,264.5,443.0,537.5,0.0,0.0,2735.5,585.1099999999999,77.79550000000005,?,?,?,?
multa,FiscalCD,CD1,?,?,?,1,2,1564.0,552.0,572.0,-60.0,564.0,865.0,250.5,264.5,443.0,537.5,0.0,0.0,2735.5,700.1099999999999,77.79550000000005,?,?,?,?
selo,FiscalCD,CD2,?,?,?,1,2,1564.0,555.15,572.0,-60.0,564.0,865.0,250.5,264.5,443.0,537.5,0.0,0.0,2735.5,696.9599999999999,77.79550000000005,6.0,?,?,?
selo,FiscalCD,CD1,?,?,?,1,2,1573.3,555.15,572.0,-60.0,564.0,865.0,250.5,264.5,443.0,537.5,0.0,0.0,2735.5,687.66,77.79550000000005,6.0,?,?,?
transferencia,PrefeitoAT,AT2,?,?,?,1,2,1573.3,555.15,572.0,-60.0,624.0,865.0,250.5,264.5,443.0,537.5,0.0,0.0,2675.5,687.66,77.79550000000005,?,?,?,?
novaTaxa,AT2,?,?,?,?,1,2,1573.3,555.15,572.0,-60.0,624.0,865.0,250.5,264.5,443.0,537.5,0.0,0.0,2675.5,687.66,77.79550000000005,?,1.0,5.0,?
novaTaxa,AT2,?,?,?,?,1,2,1573.3,555.15,572.0,-60.0,624.0,865.0,250.5,264.5,443.0,537.5,0.0,0.0,2675.5,687.66,77.79550000000005,?,3.0,35.0,?
venda,EmpSem,AT1,1.0,Soja,baixo,2,2,1573.3,555.15,572.0,-75.0,624.0,865.0,250.5,264.5,443.0,562.5,0.0,0.0,2675.5,687.66,78.12550000000005,?,?,?,?
venda,EmpFer,AT1,1.0,Premium,normal,2,2,1573.3,555.15,572.0,-65.0,624.0,865.0,250.5,284.5,443.0,562.5,0.0,0.0,2675.5,687.66,78.18550000000005,?,?,?,?
aluguel,EmpMaq,AT1,1.0,Maquinas3,baixo,2,2,1573.3,555.15,572.0,120.0,624.0,865.0,250.5,284.5,528.0,562.5,0.0,0.0,2675.5,687.66,78.27550000000005,?,?,?,?
venda,EmpSem,AT1,2.0,Soja,alto,2,2,1573.3,555.15,572.0,95.0,624.0,865.0,250.5,284.5,528.0,597.5,0.0,0.0,2675.5,687.66,78.60550000000005,?,?,?,?
venda,EmpFer,AT1,2.0,Premium,normal,2,2,1573.3,555.15,572.0,105.0,624.0,865.0,250.5,304.5,528.0,597.5,0.0,0.0,2675.5,687.66,78.66550000000005,?,?,?,?
aluguel,EmpMaq,AT1,2.0,Maquinas3,baixo,2,2,1573.3,555.15,572.0,290.0,624.0,865.0,250.5,304.5,613.0,597.5,0.0,0.0,2675.5,687.66,78.75550000000005,?,?,?,?
venda,EmpSem,AT1,3.0,Soja,alto,2,2,1573.3,555.15,572.0,265.0,624.0,865.0,250.5,304.5,613.0,632.5,0.0,0.0,2675.5,687.66,79.08550000000005,?,?,?,?
venda,EmpFer,AT1,3.0,Premium,normal,2,2,1573.3,555.15,572.0,275.0,624.0,865.0,250.5,324.5,613.0,632.5,0.0,0.0,2675.5,687.66,79.14550000000006,?,?,?,?
aluguel,EmpMaq,AT1,3.0,Maquinas3,baixo,2,2,1573.3,555.15,572.0,460.0,624.0,865.0,250.5,324.5,698.0,632.5,0.0,0.0,2675.5,687.66,79.23550000000006,?,?,?,?
venda,EmpSem,CD1,1.0,Soja,alto,2,2,1548.3,555.15,572.0,460.0,624.0,865.0,250.5,324.5,698.0,667.5,0.0,0.0,2675.5,687.66,79.56550000000006,?,?,?,?
venda,EmpFer,CD1,1.0,Premium,baixo,2,2,1563.3,555.15,572.0,460.0,624.0,865.0,250.5,339.5,698.0,667.5,0.0,0.0,2675.5,687.66,79.62550000000006,?,?,?,?
venda,EmpAgr,CD1,1.0,Comum,normal,2,2,1813.3,555.15,572.0,460.0,624.0,865.0,260.5,339.5,698.0,667.5,0.0,0.0,2675.5,687.66,80.25550000000005,?,?,?,?
venda,EmpSem,CD1,2.0,Arroz,alto,2,2,1798.3,555.15,572.0,460.0,624.0,865.0,260.5,339.5,698.0,692.5,0.0,0.0,2675.5,687.66,80.47550000000005,?,?,?,?
venda,EmpFer,CD1,2.0,Premium,baixo,2,2,1813.3,555.15,572.0,460.0,624.0,865.0,260.5,354.5,698.0,692.5,0.0,0.0,2675.5,687.66,80.53550000000006,?,?,?,?
venda,EmpAgr,CD1,2.0,Premium,normal,2,2,2133.3,555.15,572.0,460.0,624.0,865.0,280.5,354.5,698.0,692.5,0.0,0.0,2675.5,687.66,81.55550000000005,?,?,?,?
venda,EmpSem,CD1,3.0,Arroz,alto,2,2,2118.3,555.15,572.0,460.0,624.0,865.0,280.5,354.5,698.0,717.5,0.0,0.0,2675.5,687.66,81.77550000000005,?,?,?,?
venda,EmpFer,CD1,3.0,Premium,baixo,2,2,2133.3,555.15,572.0,460.0,624.0,865.0,280.5,369.5,698.0,717.5,0.0,0.0,2675.5,687.66,81.83550000000005,?,?,?,?
venda,EmpAgr,CD1,3.0,Premium,normal,2,2,2453.3,555.15,572.0,460.0,624.0,865.0,300.5,369.5,698.0,717.5,0.0,0.0,2675.5,687.66,82.85550000000005,?,?,?,?
venda,EmpSem,CD1,4.0,Arroz,alto,2,2,2438.3,555.15,572.0,460.0,624.0,865.0,300.5,369.5,698.0,742.5,0.0,0.0,2675.5,687.66,83.07550000000005,?,?,?,?
venda,EmpFer,CD1,4.0,Premium,baixo,2,2,2453.3,555.15,572.0,460.0,624.0,865.0,300.5,384.5,698.0,742.5,0.0,0.0,2675.5,687.66,83.13550000000005,?,?,?,?
venda,EmpAgr,CD1,4.0,Premium,normal,2,2,2773.3,555.15,572.0,460.0,624.0,865.0,320.5,384.5,698.0,742.5,0.0,0.0,2675.5,687.66,84.15550000000005,?,?,?,?
venda,EmpSem,CD1,5.0,Arroz,alto,2,2,2758.3,555.15,572.0,460.0,624.0,865.0,320.5,384.5,698.0,767.5,0.0,0.0,2675.5,687.66,84.37550000000005,?,?,?,?
venda,EmpFer,CD1,5.0,Premium,baixo,2,2,2773.3,555.15,572.0,460.0,624.0,865.0,320.5,399.5,698.0,767.5,0.0,0.0,2675.5,687.66,84.43550000000005,?,?,?,?
aluguel,EmpMaq,CD1,5.0,Maquinas3,normal,2,2,2953.3,555.15,572.0,460.0,624.0,865.0,320.5,399.5,788.0,767.5,0.0,0.0,2675.5,687.66,84.52550000000005,?,?,?,?
venda,EmpSem,CD1,6.0,Arroz,alto,2,2,2938.3,555.15,572.0,460.0,624.0,865.0,320.5,399.5,788.0,792.5,0.0,0.0,2675.5,687.66,84.74550000000005,?,?,?,?
